CO_REGSAUD;DS_NOME;Ano;Pop_0a4;Pop_5a9;Pop_10a14;Pop_15a19;Pop_20a24;Pop_25a29;Pop_30a34;Pop_35a39;Pop_40a44;Pop_45a49;Pop_50a54;Pop_55a59;Pop_60a64;Pop_65a69;Pop_70a74;Pop_75a79;Pop_80emais;PopH_0a4;PopH_5a9;PopH_10a14;PopH_15a19;PopH_20a24;PopH_25a29;PopH_30a34;PopH_35a39;PopH_40a44;PopH_45a49;PopH_50a54;PopH_55a59;PopH_60a64;PopH_65a69;PopH_70a74;PopH_75a79;PopH_80emais;PopM_0a4;PopM_5a9;PopM_10a14;PopM_15a19;PopM_20a24;PopM_25a29;PopM_30a34;PopM_35a39;PopM_40a44;PopM_45a49;PopM_50a54;PopM_55a59;PopM_60a64;PopM_65a69;PopM_70a74;PopM_75a79;PopM_80emais
11001;Vale do Jamari;2000;20942;20865;20286;19902;17471;15183;13734;11735;9647;7472;5580;4376;3176;2162;1292;637;503;10785;10656;10424;10233;9010;7824;7289;6282;5275;4103;3199;2519;1978;1309;816;389;275;10157;10209;9862;9669;8461;7359;6445;5453;4372;3369;2381;1857;1198;853;476;248;228
11002;Café;2000;16140;17008;17564;17197;15255;13173;12447;11064;8977;6826;5158;3948;3120;2389;1687;1014;750;8236;8657;8954;8657;7668;6531;6284;5744;4627;3540;2780;2072;1664;1273;934;582;423;7904;8351;8610;8540;7587;6642;6163;5320;4350;3286;2378;1876;1456;1116;753;432;327
11003;Central;2000;38394;40875;41591;41661;35601;29991;27326;24650;19539;15297;11546;9038;7370;5433;3533;2101;1675;19767;20605;21137;21115;18177;14994;14115;12946;10220;7976;6202;4750;4038;3032;2072;1178;939;18627;20270;20454;20546;17424;14997;13211;11704;9319;7321;5344;4288;3332;2401;1461;923;736
11004;Madeira-Mamoré;2000;47546;47144;48157;46247;41309;35118;33086;29556;23123;17147;12072;8254;6525;4650;3366;2152;1961;24219;23914;24271;23255;20284;16598;16195;14974;11739;8752;6367;4233;3360;2345;1762;1137;956;23327;23230;23886;22992;21025;18520;16891;14582;11384;8395;5705;4021;3165;2305;1604;1015;1005
11005;Zona da Mata;2000;14635;16135;15626;15019;13187;11913;10534;9312;7411;5639;4296;3637;3006;2240;1463;759;591;7563;8364;7985;7648;6727;6026;5519;4952;3961;2980;2319;1918;1704;1322;904;447;327;7072;7771;7641;7371;6460;5887;5015;4360;3450;2659;1977;1719;1302;918;559;312;264
11006;Cone Sul;2000;12416;13586;14118;13222;11285;10157;9613;8654;6871;5321;4083;3254;2741;1953;1195;682;571;6318;6918;7206;6724;5642;4925;4845;4464;3553;2736;2184;1698;1468;1088;687;417;303;6098;6668;6912;6498;5643;5232;4768;4190;3318;2585;1899;1556;1273;865;508;265;268
11007;Vale do Guaporé;2000;4526;4333;3870;3637;3220;2765;2432;2081;1629;1285;996;809;576;387;238;90;74;2352;2216;1971;1973;1692;1463;1299;1168;886;723;568;483;361;256;169;62;40;2174;2117;1899;1664;1528;1302;1133;913;743;562;428;326;215;131;69;28;34
12001;Alto Acre;2000;5809;5682;5375;4934;4036;3427;2962;2428;1978;1613;1322;1102;863;704;566;348;338;2904;2873;2765;2497;2130;1773;1578;1199;1054;850;693;579;483;425;335;201;188;2905;2809;2610;2437;1906;1654;1384;1229;924;763;629;523;380;279;231;147;150
12002;Baixo Acre e Purus;2000;47346;43722;41989;42224;37339;29994;26084;21479;18138;14172;10608;7991;6240;4729;3756;2475;2585;24086;21956;21114;21027;18119;14603;12811;10555;9041;7170;5396;3987;3177;2474;1971;1352;1288;23260;21766;20875;21197;19220;15391;13273;10924;9097;7002;5212;4004;3063;2255;1785;1123;1297
12003;Juruá e Tarauacá/Envira;2000;23932;21883;20713;19700;15207;10951;8577;7063;5687;4655;3694;3306;2552;1854;1417;890;1087;12199;11016;10504;10046;7947;5573;4391;3635;2910;2367;1941;1598;1374;992;770;483;583;11733;10867;10209;9654;7260;5378;4186;3428;2777;2288;1753;1708;1178;862;647;407;504
13001;Entorno Manaus e Alto Rio Negro;2000;201720;188633;176594;191721;181968;152033;127685;110067;87427;66081;47423;33332;26554;19523;14236;9266;9158;102126;95322;87949;93203;88129;73671;63240;54740;43300;32725;23527;16034;12543;8876;6434;4138;3602;99594;93311;88645;98518;93839;78362;64445;55327;44127;33356;23896;17298;14011;10647;7802;5128;5556
13002;Rio Negro e Solimões;2000;32047;29897;28240;25379;19978;14530;11402;9770;7883;6567;4884;4289;3593;2755;1940;1266;1253;16069;15054;14226;13013;10359;7542;5972;5153;4147;3514;2675;2302;1891;1542;1077;693;647;15978;14843;14014;12366;9619;6988;5430;4617;3736;3053;2209;1987;1702;1213;863;573;606
13003;Rio Madeira;2000;20093;19756;18124;15563;11617;9029;7140;6526;5170;4377;3218;2892;2244;1789;1149;826;923;10236;10172;9356;8071;6118;4709;3729;3424;2848;2443;1870;1566;1200;997;652;439;456;9857;9584;8768;7492;5499;4320;3411;3102;2322;1934;1348;1326;1044;792;497;387;467
13004;Médio Amazonas;2000;18369;17759;16762;15238;11586;8877;7182;6219;5204;4249;3315;2888;2301;1826;1251;940;1029;9421;8940;8597;7957;6156;4655;3833;3290;2787;2299;1775;1534;1234;971;685;485;496;8948;8819;8165;7281;5430;4222;3349;2929;2417;1950;1540;1354;1067;855;566;455;533
13005;Baixo Amazonas;2000;27372;26262;24993;21709;15755;11669;9663;8785;7315;5903;4327;3734;3246;2984;1979;1434;1472;13832;13387;12832;11173;8335;6135;5037;4610;3910;3146;2295;1918;1677;1566;1110;742;702;13540;12875;12161;10536;7420;5534;4626;4175;3405;2757;2032;1816;1569;1418;869;692;770
13006;Regional Purus;2000;16209;15769;14799;13312;9815;7182;5526;5211;3928;3311;2392;2082;1638;1282;841;536;506;8146;8039;7726;6904;5045;3763;2875;2724;2038;1800;1281;1125;886;715;464;327;234;8063;7730;7073;6408;4770;3419;2651;2487;1890;1511;1111;957;752;567;377;209;272
13007;Regional Juruá;2000;18560;17186;15041;13152;9739;6861;5318;4801;3485;2793;2040;1851;1345;1098;704;450;516;9419;8894;7779;6941;5077;3518;2777;2482;1854;1482;1041;968;676;631;409;255;286;9141;8292;7262;6211;4662;3343;2541;2319;1631;1311;999;883;669;467;295;195;230
13008;Triângulo;2000;19277;18431;17160;15242;12045;8929;6623;5695;4293;3386;2664;2171;1733;1256;844;515;545;9533;9406;8677;7754;6204;4615;3508;3018;2271;1854;1459;1126;967;706;463;280;275;9744;9025;8483;7488;5841;4314;3115;2677;2022;1532;1205;1045;766;550;381;235;270
13009;Alto Solimões;2000;33364;32527;28221;23470;17778;14736;10819;9550;7349;5527;4190;3497;2900;2116;1443;909;946;16750;16496;14409;12057;9031;7624;5677;4918;3936;3002;2248;1796;1491;1140;827;528;497;16614;16031;13812;11413;8747;7112;5142;4632;3413;2525;1942;1701;1409;976;616;381;449
14001;Centro Norte;2000;37059;34516;31770;31233;27594;23209;20769;17931;14070;10516;7392;4858;3802;2672;1968;1282;1202;18669;17471;16087;15450;13560;11541;10655;9288;7340;5667;4060;2610;2026;1413;994;672;573;18390;17045;15683;15783;14034;11668;10114;8643;6730;4849;3332;2248;1776;1259;974;610;629
14002;Sul;2000;7287;7155;7077;6375;4775;3691;3223;3173;2686;2053;1633;1224;885;579;375;196;167;3599;3701;3692;3398;2515;1929;1731;1641;1490;1192;980;750;571;351;220;107;94;3688;3454;3385;2977;2260;1762;1492;1532;1196;861;653;474;314;228;155;89;73
15001;Araguaia;2000;41255;41169;40993;38645;33324;28093;25340;21976;17754;14007;10792;8334;6427;4367;2602;1514;1383;21020;21144;21176;19702;17027;14457;13231;11780;9732;7797;6294;4729;3846;2560;1547;894;753;20235;20025;19817;18943;16297;13636;12109;10196;8022;6210;4498;3605;2581;1807;1055;620;630
15002;Baixo Amazonas;2000;83282;82397;80988;76403;57747;43950;36351;32384;27430;23141;17192;15112;12015;9850;7155;4446;4932;42561;42045;41005;39431;29772;22337;18500;16630;14010;11982;8922;7677;6270;5063;3664;2248;2110;40721;40352;39983;36972;27975;21613;17851;15754;13420;11159;8270;7435;5745;4787;3491;2198;2822
15003;Carajás;2000;72324;70031;70038;65763;54639;42666;37729;32715;26697;20558;15807;12246;9771;6915;4369;2538;2358;36580;35702;35432;33142;27759;21611;19212;16920;14042;11031;8810;6680;5586;4017;2581;1439;1178;35744;34329;34606;32621;26880;21055;18517;15795;12655;9527;6997;5566;4185;2898;1788;1099;1180
15004;Lago de Tucuruí;2000;34395;33033;32226;30510;25300;19943;16699;14218;11789;9406;6675;5244;3973;2738;1688;945;945;17429;16735;16266;15700;12906;10227;8687;7405;6340;5173;3832;2920;2267;1619;1004;549;449;16966;16298;15960;14810;12394;9716;8012;6813;5449;4233;2843;2324;1706;1119;684;396;496
15006;Metropolitana I;2000;180133;175900;180473;207093;197253;169673;146391;125754;106747;83561;63924;46529;37008;27452;20349;12726;14570;91691;89285;89275;99046;93654;80528;69033;59938;50560;39226;29686;21137;16359;11547;8285;5046;4658;88442;86615;91198;108047;103599;89145;77358;65816;56187;44335;34238;25392;20649;15905;12064;7680;9912
15007;Metropolitana II;2000;35552;36649;35364;32350;26287;21031;17188;13825;11362;9573;7746;6969;5513;4310;2910;1884;2339;18075;18672;17878;16731;13971;10972;8914;7213;5950;5083;4102;3579;2843;2305;1523;956;1058;17477;17977;17486;15619;12316;10059;8274;6612;5412;4490;3644;3390;2670;2005;1387;928;1281
15008;Metropolitana III;2000;88337;87470;86103;80295;64207;51758;43641;35602;29686;24188;19045;16347;12931;9601;7216;4397;5379;45014;44324;43921;40977;33189;26680;22371;18305;15419;12623;10060;8362;6672;5069;3776;2280;2465;43323;43146;42182;39318;31018;25078;21270;17297;14267;11565;8985;7985;6259;4532;3440;2117;2914
15009;Rio Caetés;2000;55165;55268;55731;50769;37541;29054;24241;21038;17715;15325;11837;10490;8857;7320;5275;3392;3928;28300;28258;28791;26387;19892;15253;12446;10684;9065;8028;6106;5399;4498;3817;2696;1765;1866;26865;27010;26940;24382;17649;13801;11795;10354;8650;7297;5731;5091;4359;3503;2579;1627;2062
15010;Tapajós;2000;25756;24704;23930;22376;18309;16575;15604;13991;11195;7754;5771;4125;3104;2067;1241;808;632;13211;12772;12204;11396;9435;8999;8730;8183;6385;4487;3363;2335;1759;1232;716;450;328;12545;11932;11726;10980;8874;7576;6874;5808;4810;3267;2408;1790;1345;835;525;358;304
15011;Tocantins;2000;66604;66244;64856;57335;44734;33640;27490;23044;19370;16394;12475;10592;8389;6391;4624;3204;4683;33826;34013;32946;29878;23324;17267;14289;11861;10085;8768;6501;5405;4259;3178;2333;1560;2038;32778;32231;31910;27457;21410;16373;13201;11183;9285;7626;5974;5187;4130;3213;2291;1644;2645
