CO_REGSAUD;DS_NOME;Ano;Pop
11001;Vale do Jamari;2000;174963
11002;Café;2000;153717
11003;Central;2000;355621
11004;Madeira-Mamoré;2000;407413
11005;Zona da Mata;2000;135403
11006;Cone Sul;2000;119722
11007;Vale do Guaporé;2000;32948
12001;Alto Acre;2000;43487
12002;Baixo Acre e Purus;2000;360871
12003;Juruá e Tarauacá/Envira;2000;153168
13001;Entorno Manaus e Alto Rio Negro;2000;1643421
13002;Rio Negro e Solimões;2000;205673
13003;Rio Madeira;2000;130436
13004;Médio Amazonas;2000;124995
13005;Baixo Amazonas;2000;178602
13006;Regional Purus;2000;104339
13007;Regional Juruá;2000;104940
13008;Triângulo;2000;120809
13009;Alto Solimões;2000;199342
14001;Centro Norte;2000;271843
14002;Sul;2000;52554
15001;Araguaia;2000;337975
15002;Baixo Amazonas;2000;614775
15003;Carajás;2000;547164
15004;Lago de Tucuruí;2000;249727
15006;Metropolitana I;2000;1795536
15007;Metropolitana II;2000;270852
15008;Metropolitana III;2000;666203
15009;Rio Caetés;2000;412946
15010;Tapajós;2000;197942
15011;Tocantins;2000;470069
15012;Xingu;2000;249915
15013;Marajó I;2000;164794
15014;Marajó II;2000;214409
16001;Área Central;2000;311388
16002;Área Norte;2000;36144
16003;Área Sudoeste;2000;129500
17001;Médio Norte Araguaia;2000;215274
17002;Bico do Papagaio;2000;169951
17003;Sudeste;2000;85976
17004;Cerrado Tocantins Araguaia;2000;128281
17005;Ilha do Bananal;2000;158095
17006;Capim Dourado;2000;208607
17007;Cantão;2000;96196
17008;Amor Perfeito;2000;94718
21001;Açailândia;2000;215562
21002;Bacabal;2000;237514
21003;Balsas;2000;197556
21004;Barra do Corda;2000;183428
21005;Caxias;2000;253850
21006;Chapadinha;2000;284761
21007;Codó;2000;265580
21008;Imperatriz;2000;439008
21009;Itapecuru Mirim;2000;271241
21010;Pedreiras;2000;203800
21011;Pinheiro;2000;330355
21012;Presidente Dutra;2000;257740
21013;Rosário;2000;214970
21014;Santa Inês;2000;345599
21015;São João dos Patos;2000;209103
21016;São Luís;2000;1091979
21017;Timon;2000;201448
21018;Viana;2000;217952
21019;Zé Doca;2000;230029
22001;Carnaubais;2000;149551
22002;Chapada das Mangabeiras;2000;168850
22003;Cocais;2000;357636
22004;Entre Rios;2000;1035333
22005;Planície Litorânea;2000;238406
22006;Serra da Capivara;2000;126611
22007;Tabuleiros do Alto Parnaíba;2000;37198
22008;Vale do Canindé;2000;97067
22009;Vale do Rio Guaribas;2000;330745
22010;Vale do Sambito;2000;103258
22011;Vale dos Rios Piauí e Itaueiras;2000;198623
23001;1ª Região Fortaleza;2000;2262588
23002;2ª Região Caucaia;2000;455205
23003;3ª Região Maracanaú;2000;404250
23004;4ª Região Baturité;2000;123930
23005;5ª Região Canindé;2000;176886
23006;6ª Região Itapipoca;2000;227931
23007;7ª Região Aracati;2000;95884
23008;8ª Região Quixadá;2000;276956
23009;9ª Região Russas;2000;177645
23010;10ª Região Limoeiro do Norte;2000;201866
23011;11ª Região Sobral;2000;541447
23012;12ª Região Acaraú;2000;177896
23013;13ª Região Tianguá;2000;258973
23014;14ª Região Tauá;2000;106240
23015;15ª Região Crateús;2000;283509
23016;16ª Região Camocim;2000;138618
23017;17ª Região Icó;2000;164507
23018;18ª Região Iguatú;2000;283928
23019;19ª Região Brejo Santo;2000;191381
23020;20ª Região Crato;2000;299255
23021;21ª Região Juazeiro do Norte;2000;349192
23022;22ª Região Cascavel;2000;232574
24001;1ª Região de Saúde - São José de Mipibu;2000;312936
24002;2ª Região de Saúde - Mossoró;2000;374596
24003;3ª Região de Saúde - João Câmara;2000;291780
24004;4ª Região de Saúde - Caicó;2000;282098
24005;5ª Região de Saúde - Santa Cruz;2000;170060
24006;6ª Região de Saúde - Pau dos Ferros;2000;234971
24007;7ª Região de Saúde - Metropolitana;2000;980897
24008;8ª Região de Saúde - Açu;2000;129444
25001;1ª Região Mata Atlântica;2000;1011297
25002;2ª Região;2000;292658
25003;3ª Região;2000;178968
25004;4ª Região;2000;98409
25005;5ª Região;2000;107970
25006;6ª Região;2000;208420
25007;7ª Região;2000;147225
25008;8ª Região;2000;102417
25009;9ª Região;2000;157169
25010;10ª Região;2000;106328
25011;11ª Região;2000;77257
25012;12ª Região;2000;163465
25013;13ª Região;2000;56999
25014;14ª Região;2000;128529
25015;15ª Região;2000;136983
25016;16ª Região;2000;469731
26001;Afogados da Ingazeira;2000;172652
26002;Arcoverde;2000;330114
26003;Caruaru;2000;1073127
26004;Garanhuns;2000;482473
26005;Goiana;2000;294070
26006;Limoeiro;2000;532194
26007;Ouricuri;2000;296651
26008;Palmares;2000;522579
26009;Petrolina;2000;341580
26010;Recife;2000;3537639
26011;Salgueiro;2000;128664
26012;Serra Talhada;2000;206601
27001;1ª Região de Saúde;2000;1001161
27002;2ª Região de Saúde;2000;143377
27003;3ª Região de Saúde;2000;202585
27004;4ª Região de Saúde;2000;138634
27005;5ª Região de Saúde;2000;202258
27006;6ª Região de Saúde;2000;172807
27007;7ª Região de Saúde;2000;448701
27008;8ª Região de Saúde;2000;152594
27009;9ª Região de Saúde;2000;218897
27010;10ª Região de Saúde;2000;141607
28001;Aracaju;2000;608228
28002;Estância;2000;209757
28003;Itabaiana;2000;208895
28004;Lagarto;2000;221370
28005;Nossa Senhora da Glória;2000;135061
28006;Nossa Senhora do Socorro;2000;257741
28007;Propriá;2000;143423
29001;Alagoinhas;2000;458093
29002;Barreiras;2000;317170
29003;Brumado;2000;391929
29004;Camaçari;2000;380323
29005;Cruz das Almas;2000;234798
29006;Feira de Santana;2000;982853
29007;Guanambi;2000;411518
29008;Ibotirama;2000;174691
29009;Ilhéus;2000;369967
29010;Irecê;2000;372994
29011;Itaberaba;2000;241267
29012;Itabuna;2000;535461
29013;Itapetinga;2000;238309
29014;Jacobina;2000;365164
29015;Jequié;2000;525291
29016;Juazeiro;2000;447255
29017;Paulo Afonso;2000;218521
29018;Porto Seguro;2000;292680
29019;Ribeira do Pombal;2000;301515
29020;Salvador;2000;2829013
29021;Santa Maria da Vitória;2000;283554
29022;Santo Antônio de Jesus;2000;402719
29023;Seabra;2000;166111
29024;Senhor do Bonfim;2000;273360
29025;Serrinha;2000;570059
29026;Teixeira de Freitas;2000;372170
29027;Valença;2000;270068
29028;Vitória da Conquista;2000;643397
31001;Águas Formosas;2000;56935
31002;Além Paraíba;2000;54751
31003;Alfenas Machado;2000;287247
31004;Almenara;2000;168221
31005;Araçuaí;2000;88297
31006;Araxá;2000;142873
31007;Barbacena;2000;211531
31008;Belo Horizonte Nova Lima Caeté;2000;2942606
31009;Betim;2000;500347
31010;Bom Despacho;2000;93964
31011;Brasília de Minas São Francisco;2000;221102
31012;Carangola;2000;119681
31013;Caratinga;2000;180941
31014;Conselheiro Lafaiete Congonhas;2000;263027
31015;Contagem;2000;688335
31016;Coração de Jesus;2000;46997
31017;Coronel Fabriciano Timóteo;2000;203521
31018;Curvelo;2000;163399
31019;Diamantina;2000;163588
31020;Divinópolis Santo Antônio do Monte;2000;371622
31021;Formiga;2000;122286
31022;Francisco Sá;2000;67569
31023;Frutal Iturama;2000;135108
31024;Governador Valadares;2000;390342
31025;Guanhães;2000;113353
31026;Guaxupé;2000;148342
31027;Ipatinga;2000;335661
31028;Itabira;2000;197955
31029;Itajubá;2000;187501
31030;Itaobim;2000;81950
31031;Itaúna;2000;103190
31032;Ituiutaba;2000;173042
31033;Janaúba Monte Azul;2000;253957
31034;Januária;2000;104271
31035;João Monlevade;2000;126070
31036;João Pinheiro;2000;60451
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2000;577231
31038;Lavras;2000;153409
31039;Leopoldina Cataguases;2000;164443
31040;Manga;2000;59555
31041;Manhuaçu;2000;299575
31042;Mantena;2000;66835
31043;Minas Novas Turmalina Capelinha;2000;111701
31044;Montes Claros Bocaiúva;2000;393370
31045;Muriaé;2000;153093
31046;Nanuque;2000;71795
31047;Ouro Preto;2000;150888
31048;Padre Paraíso;2000;56539
31049;Pará de Minas;2000;154308
31050;Passos Piumhi;2000;253316
31051;Patos de Minas;2000;306762
31052;Patrocínio Monte Carmelo;2000;170611
31053;Pedra Azul;2000;48824
31054;Pirapora;2000;129493
31055;Poços de Caldas;2000;193940
31056;Ponte Nova;2000;216722
31057;Pouso Alegre;2000;431939
31058;Resplendor;2000;87810
31059;Salinas Taiobeiras;2000;188337
31060;Santa Maria do Suaçuí São João Evangeli;2000;105117
31061;Santo Antônio do Amparo Campo Belo;2000;183453
31062;Santos Dumont;2000;51020
31063;São João del Rei;2000;213543
31064;São João Nepomuceno Bicas;2000;65360
31065;São Lourenço;2000;237965
31066;São Sebastião do Paraíso;2000;114179
31067;Sete Lagoas;2000;367762
31068;Teófilo Otoni Malacacheta Itambacuri;2000;309930
31069;Três Corações;2000;113468
31070;Três Pontas;2000;115763
31071;Ubá;2000;264378
31072;Uberaba;2000;312001
31073;Uberlândia Araguari;2000;690697
31074;Unaí;2000;228093
31075;Varginha;2000;164227
31076;Vespasiano;2000;222034
31077;Viçosa;2000;121975
32001;Central;2000;495316
32002;Metropolitana;2000;1670260
32003;Norte;2000;348551
32004;Sul;2000;583105
33001;Baia da Ilha Grande;2000;173692
33002;Baixada Litorânea;2000;441060
33003;Centro-Sul;2000;294578
33004;Médio Paraíba;2000;785192
33005;Metropolitana I;2000;9149985
33006;Metropolitana II;2000;1711799
33007;Noroeste;2000;310291
33008;Norte;2000;686188
33009;Serrana;2000;838497
